artist_id,canonical_name,aliases_json,source,updated_at,is_enabled,ticketjam_watch,ticketjam_benchmark_tier,ticketjam_watch_reason
wd:Q111659357,Angela Seo,"[""Hyunhye Seo""]",wikidata,2026-05-01,1,0,,
wd:Q3616844,Angella Ahn,[],wikidata,2026-05-01,1,0,,
wd:Q16171623,Ann,[],wikidata,2026-05-01,1,0,,
wd:Q137292194,Annie Moon,"[""Annie"", ""문서윤"", ""Moon Seo-yoon""]",wikidata,2026-02-24,1,0,,
wd:Q139044821,AnythingBecomeMoe,"[""Saku Ram"", ""사쿠람""]",wikidata,2026-05-01,1,0,,
wd:Q4646936,Apeace,"[""A Peace"", ""A-Peace"", ""Double B"", ""Double B 21"", ""Double-B"", ""Double-B 21""]",wikidata,2026-02-24,1,0,,
wd:Q483286,Apink,"[""A Pink"", ""A-Pink""]",wikidata,2026-02-24,1,0,,
wd:Q17362588,Apink BnN,"[""APink BnN"", ""Pink BnN"", ""에이핑크 비엔에이""]",wikidata,2026-02-24,1,0,,
wd:Q126893845,Apink Chobom,"[""Chobom""]",wikidata,2026-02-24,1,0,,
wd:Q4780285,Apollo 18,[],wikidata,2026-05-01,1,0,,
wd:Q55731710,Apple.B,[],wikidata,2026-02-24,1,0,,
wd:Q28450642,April 2nd,"[""에이프릴세컨드""]",wikidata,2026-05-01,1,0,,
wd:Q20048495,April Kiss,[],wikidata,2026-02-24,1,0,,
wd:Q117178561,Aran,"[""Jeong Eun-a"", ""정은아""]",wikidata,2026-05-01,1,0,,
wd:Q111308055,Arang,[],wikidata,2026-02-24,1,0,,
wd:Q131126504,Arem,"[""김아름"", ""Kim A-reum"", ""Kim Arem""]",wikidata,2026-05-01,1,0,,
wd:Q96372337,Argon,[],wikidata,2026-05-01,1,0,,
wd:Q43111132,Ari,"[""김선영"", ""Kim Seon-yeong""]",wikidata,2026-05-01,1,0,,
wd:Q133873446,Aria,[],wikidata,2026-05-01,1,0,,
wd:Q24702840,Arie,"[""김효신""]",wikidata,2026-05-01,1,0,,
wd:Q15410572,Arie Band,[],wikidata,2026-05-01,1,0,,
wd:Q30014943,Aron,"[""Aaron Kwak"", ""Aron Kwak"", ""Kwak Young-min"", ""곽영민"", ""뉴이스트 아론"", ""아론 곽""]",wikidata,2026-02-24,1,0,,
wd:Q111711153,Artist 빡대,[],wikidata,2026-05-01,1,0,,
wd:Q4802939,As One,"[""애즈원""]",wikidata,2026-02-24,1,0,,
wd:Q61099260,Ash Island,"[""Yoon Jin-young""]",wikidata,2026-02-24,1,0,,
wd:Q21709986,Ash-B,[],wikidata,2026-05-01,1,0,,
wd:Q16097430,Asiana,[],wikidata,2026-05-01,1,0,,
wd:Q110115738,Asol,[],wikidata,2026-05-01,1,0,,
wd:Q12605276,Asoto Union,[],wikidata,2026-05-01,1,0,,
wd:Q111908892,Asthma,[],wikidata,2026-05-01,1,0,,
wd:Q12606313,Astro Bits,[],wikidata,2026-05-01,1,0,,
wd:Q129548317,Athena,"[""Athena Yang"", ""아테나""]",wikidata,2026-02-24,1,0,,
wd:Q12607805,Aurora,"[""오로라 (음악그룹)""]",wikidata,2026-05-01,1,0,,
wd:Q12582436,Autumn Vacation,[],wikidata,2026-05-01,1,0,,
wd:Q41118447,Awe5ome Baby,[],wikidata,2026-05-01,1,0,,
wd:Q133873333,AxMxP,"[""A.M.P""]",wikidata,2026-02-24,1,0,,
wd:Q28448996,AxisB,[],wikidata,2026-02-24,1,0,,
wd:Q130236478,B JYUN.,[],wikidata,2026-05-01,1,0,,
wd:Q19939958,B-BOYS`C,[],wikidata,2026-05-01,1,0,,
wd:Q16161156,B-Free,"[""DJ NIEBI"", ""FREE THE MANE"", ""비짝대기프리""]",wikidata,2026-05-01,1,0,,
wd:Q16160792,B-soap,[],wikidata,2026-05-01,1,0,,
wd:Q483234,B.A.P,"[""BAP"", ""비에이피""]",wikidata,2026-02-24,1,0,,
wd:Q125230505,B.D.U,"[""Boys Define Universe""]",wikidata,2026-02-24,1,0,,
wd:Q84842527,B.EYES,[],wikidata,2026-02-24,1,0,,
wd:Q17811824,B.I,"[""김한빈"", ""Kim Han-bin"", ""Kim Hanbin""]",wikidata,2026-05-01,1,0,,
